Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,24,Chemicals and chemical products,24,2.779093933E9,M,2.04382411866E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,25,Rubber and plastics products,25,2.663611314E9,M,1.95889494114E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,26,Non-metallic mineral products,26,2.456118152E9,M,1.80629861328E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,27,Basic metals,27,4.255018144E9,M,3.12926044161E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,28,Fabricated metal products,28,4.839942306E9,M,3.55943017992E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,36,Furniture; manufacturing n.e.c.,36,1.407385745E9,M,1.03503120054E9,Special note:UNIDO Estimate
2004,Australia,036,Output,14,14,Output (valuation not defined),10,Mining of coal and lignite; extraction of peat,10,1.520462513828E10,M,1.118191047947E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),11,"Extraction of crude oil and natural gas, etc.",11,2.084622753906E10,M,1.533090412006E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),14,Other mining and quarrying,14,4.00920227051E9,M,2.94848051005E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),15,Food and beverages,15,7.0002296875E10,M,5.148166494699E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),16,Tobacco products,16,1.56028710938E9,M,1.14747917957E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),17,Textiles,17,4.34379980469E9,M,3.19455298075E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),18,"Wearing apparel, fur",18,3.77789990234E9,M,2.77837421996E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),19,"Leather, leather products and footwear",19,9.9520001221E8,M,7.3189817864E8,
2004,Australia,036,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,1.030670019531E10,M,7.57983823176E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),21,Paper and paper products,21,8.97459960938E9,M,6.60017386213E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,2.0009328125E10,M,1.471542466935E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),23,"Coke,refined petroleum products,nuclear fuel",23,2.937384179688E10,M,2.160235233842E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,2.20164140625E10,M,1.619149231808E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,9.6035E9,M,7.0626849602E9,
